"Name","Location","Function Signature","Function Size"
"__x86.get_pc_thunk.ax","00401000","undefined4 __x86.get_pc_thunk.ax(void)","4"
"__x86.get_pc_thunk.cx","00401010","undefined __x86.get_pc_thunk.cx(void)","1"
"__x86.get_pc_thunk.dx","00401020","undefined __x86.get_pc_thunk.dx(void)","1"
"__x86.get_pc_thunk.bx","00401030","undefined __x86.get_pc_thunk.bx(void)","1"
"__x86.get_pc_thunk.bp","00401040","undefined __x86.get_pc_thunk.bp(void)","1"
"__x86.get_pc_thunk.si","00401050","undefined __x86.get_pc_thunk.si(void)","1"
"__x86.get_pc_thunk.di","00401060","undefined __x86.get_pc_thunk.di(void)","1"
"go:buildid","00401070","undefined go:buildid(void)","1"
"internal/cpu.Initialize","004010e0","undefined internal/cpu.Initialize(int * param_1\, int * param_2)","57"
"internal/cpu.processOptions","00401120","undefined internal/cpu.processOptions(int * param_1\, int * param_2)","1272"
"internal/cpu.doinit","00401620","undefined internal/cpu.doinit(void)","1980"
"internal/cpu.cpuid","00401de0","undefined internal/cpu.cpuid(int param_1)","27"
"internal/cpu.xgetbv","00401e00","undefined internal/cpu.xgetbv(undefined4 param_1\, undefined4 param_2)","17"
"internal/cpu.getGOAMD64level","00401e20","undefined internal/cpu.getGOAMD64level(undefined4 param_1)","9"
"type:.eq.internal/cpu.option","00401e30","undefined type:.eq.internal/cpu.option(int * param_1\, int * param_2)","109"
"type:.eq.[...]internal/cpu.option","00401ea0","undefined type:.eq.[...]internal/cpu.option(int param_1\, int param_2)","183"
"runtime/internal/atomic.LoadAcq","00401f60","undefined runtime/internal/atomic.LoadAcq(undefined4 param_1\, undefined4 param_2)","11"
"runtime/internal/atomic.LoadAcquintptr","00401f70","undefined runtime/internal/atomic.LoadAcquintptr(undefined4 param_1\, undefined4 param_2)","11"
"runtime/internal/atomic.Load8","00401f80","undefined runtime/internal/atomic.Load8(undefined4 param_1\, undefined1 param_2)","12"
"runtime/internal/atomic.panicUnaligned","00401f90","undefined runtime/internal/atomic.panicUnaligned(void)","53"
"runtime/internal/atomic.Load","00401fd0","undefined runtime/internal/atomic.Load(undefined4 param_1\, undefined4 param_2)","11"
"runtime/internal/atomic.Loadp","00401fe0","undefined runtime/internal/atomic.Loadp(undefined4 param_1\, undefined4 param_2)","11"
"runtime/internal/atomic.Cas","00401ff0","int runtime/internal/atomic.Cas(int * param_1\, int param_2\, int param_3)","22"
"runtime/internal/atomic.Casint32","00402010","thunk int runtime/internal/atomic.Casint32(int * param_1\, int param_2\, int param_3)","5"
"runtime/internal/atomic.Casint64","00402020","thunk undefined8 runtime/internal/atomic.Casint64(longlong * param_1\, undefined4 param_2\, undefined4 param_3\, longlong param_4)","5"
"runtime/internal/atomic.Casuintptr","00402030","thunk int runtime/internal/atomic.Casuintptr(int * param_1\, int param_2\, int param_3)","5"
